LAD_CODE,LAD_NAME
E07000026,Allerdale
E07000200,Babergh
E07000136,Boston
E07000143,Breckland
E07000028,Carlisle
E07000225,Chichester
E07000029,Copeland
E06000052,Cornwall
E07000079,Cotswold
E07000163,Craven
E07000151,Daventry
E07000035,Derbyshire Dales
E06000059,Dorset
E07000009,East Cambridgeshire
E07000040,East Devon
E07000137,East Lindsey
E07000152,East Northamptonshire
E06000011,East Riding of Yorkshire
E07000244,East Suffolk
E07000030,Eden
E07000010,Fenland
E07000164,Hambleton
E07000131,Harborough
E07000165,Harrogate
E06000019,"Herefordshire, County of"
E07000011,Huntingdonshire
E06000053,Isles of Scilly
E07000146,King's Lynn and West Norfolk
E07000074,Maldon
E07000235,Malvern Hills
E07000133,Melton
E07000042,Mid Devon
E07000203,Mid Suffolk
E07000175,Newark and Sherwood
E07000043,North Devon
E07000139,North Kesteven
E07000147,North Norfolk
E06000057,Northumberland
E07000124,Ribble Valley
E07000166,Richmondshire
E07000064,Rother
E06000017,Rutland
E07000167,Ryedale
E07000168,Scarborough
E07000169,Selby
E06000051,Shropshire
E07000246,Somerset West and Taunton
E07000012,South Cambridgeshire
E07000044,South Hams
E07000140,South Holland
E07000141,South Kesteven
E07000031,South Lakeland
E07000149,South Norfolk
E07000221,Stratford-on-Avon
E07000045,Teignbridge
E07000046,Torridge
E07000077,Uttlesford
E07000065,Wealden
E07000047,West Devon
E07000142,West Lindsey
E07000181,West Oxfordshire
E07000245,West Suffolk
E06000054,Wiltshire
E07000094,Winchester
